"companyId","companyName","ReviewsCount","AggregateRating"
"1896538","Manektech","66.0","3.1"
"1852848","Lambda Therapeutic Research","402.0","4.1"
"1494342","Resolve","",""
"124886961","Streedom","",""
"1704484","Mark Makers Consultancy Services","",""
"826461","Aithent","89.0","3.8"
"3273720","Kailash Hospital & Heart Institute","362.0","3.7"
"694101","Infosearch Bpo Services","196.0","4.2"
"6779247","Rocketleaf Technologies Pvt. Ltd.","46.0","2.8"
"124620278","Quantum Strides India","",""
"3002478","Haldirams","445.0","3.9"
"124842901","Planning Partners","",""
"124791569","SRI Landstar Property Developers","",""
"4001776","Globiva","1737.0","3.1"
"124335902","Ridhab Techno","",""
"3910194","Baroda Global Shared Service","1166.0","3.9"
"1086828","Zydus Wellness","1011.0","4.1"
"1088594","Galaxy Hr Capital","",""
"7111725","Smarthms Solutions","3.0","2.6"
"1365528","ASG Eye Hospital","642.0","3.4"
"124418858","Sales Partners","63.0","2.0"
"125037615","Gidel Crest","",""
"229001","Rane Group","667.0","3.8"
"6494918","Hearing Solutions","66.0","4.0"
"5825762","Ilensys Technologies","160.0","4.1"
"1030074","Okool Staffing  Recruitment Solutions","",""
"1774104","Straive","2106.0","3.3"
"3646648","Crest Container Lines","4.0","3.4"
"1072614","MedPlus","1195.0","3.6"
"1049884","AIS Technolabs","",""
"1657230","Iccs","841.0","3.0"
"590977","Pathfinders Global(P) Ltd","",""
"3728176","Zscaler Softech","389.0","3.3"
"7057325","ka Industries","10.0","3.4"
"106872","The Indian Hume Pipe Co (IHP)","276.0","3.9"
"5234768","Kapitus Strategy Services","21.0","4.0"
"123945853","Integrated Kayakalp Global","",""
"6370596","Seeds Fincap","106.0","3.4"
"124109392","Electro Flux Equipments","",""
"3050228","Alois Solutions","",""
"125083849","Green Globe Solution","",""
"1844504","Ags Cinemas","41.0","3.8"
"1807566","Adda247","448.0","3.7"
"3254842","Crescore Capital","11.0","3.0"
"4573118","Medisol Placements","",""
"4401566","Mercados Energy Markets","55.0","3.2"
"840975","Hindustan Syringes & Medical Devices (HMD)","313.0","3.9"
"125081811","Illuniq","",""
"602389","Orcapod Consulting Services","",""
"1603346","Rattanindia Power","161.0","3.2"
"1755728","Purplle.com","388.0","3.6"
"121473","Omega Healthcare","5681.0","3.8"
"124999095","Freelancer Kushagra Pandey","",""
"2089678","CIEL HR","",""
"2232790","Book My Forex","44.0","3.8"
"124966047","Naturopahy Bliss","",""
"1352066","ACE Infoway","39.0","3.3"
"124648934","Malankara Multi State Co Operative Credit","",""
"1879210","Gemba Concepts","82.0","3.2"
"5733662","And We Support","20.0","3.4"
"123535939","Hope Artificial Intelligence","12.0","4.9"
"903192","Brainwork Technosolutions","",""
"4696738","Ample Placement","",""
"125141289","Cognitum Tech","",""
"125129001","Sanzargo Life Care","",""
"5212232","Integrated Information Services","72.0","3.4"
"124945465","Africure Pharmaceuticals","28.0","3.2"
"1047176","Cita","",""
"123606401","Celest Recruitment Solutions","",""
"7118633","Ig3 Infra","34.0","3.7"
"16436","RRD","1778.0","3.8"
"123662193","Finnable Technologies","83.0","3.8"
"123950837","Kashcloud Kpo Services","16.0","3.8"
"102758","Creativelipi Webtech","144.0","2.8"
"5167174","G SAHOO AND CO, CHARTERED ACCOUNTANT","",""
"5832238","Echobooom","410.0","3.7"
"125037697","Parekh Gallerium","",""
"1440078","Niva Bupa","2183.0","3.5"
"260555","Webgrity","64.0","3.9"
"2987038","Evolution Staffing","",""
"123952263","Connect To Consultancy","",""
"911802","Access Healthcare","5237.0","3.7"
"5488346","Coox Online","35.0","3.7"
"124620190","People Partner Talentsutra","",""
"479265","Geetanjali University","9.0","4.9"
"5736156","Nursing Station Health Care","",""
"604855","Max Hospital,Gurgaon","2933.0","3.9"
"6796003","Eureka","64.0","4.8"
"123982583","Inventgrid","11.0","2.6"
"6233736","Ippopay","50.0","3.5"
"772452","Mahendra Nextwealth","512.0","3.4"
"3503232","Geodis Overseas","119.0","3.3"
"4426402","Creative Hands HR","",""
"6563588","Futureheights Training And Consultant","",""
"561187","Monotech Systems","123.0","3.8"
"27110","Bajaj Capital","1414.0","3.6"
"124278084","Stokhos Research Capital Llp","",""
"124916811","ACER Credit Rating Pvt. Ltd.","",""
"3550840","Myforexeye","37.0","3.9"
"124075224","Raunaq Foundations","5.0","3.1"
"934160","Dr.Kamakshi Memorial Hospital","68.0","4.5"
"79647","Capital Placement Services","",""
"124882669","Minutesbazaar","",""
"4324660","Tuoren Medical","38.0","4.0"
"2318932","AGNO TALENTS PRIVATE LIMITED","",""
"123912485","LS Devices","13.0","2.9"
"123650393","Shreeji Automart","5.0","3.3"
"60376","Excellon Software","153.0","4.1"
"756525","K12 Techno Services","1735.0","3.6"
"123885639","Mithram Constructions","",""
"3111","Koenig Solutions","277.0","3.7"
"125140649","S R Steel","",""
"652623","Hinduja Tech","455.0","3.3"
"2527514","Hireworks Recruitment Consultants","",""
"763","MBit","",""
"1114976","Alfa Therm","24.0","4.0"
"124549610","Anchemco India Private Limited (ANAND Group)","76.0","3.8"
"125063065","Shanti Business School","11.0","4.4"
"125140125","Indian Startup School","",""
"1422796","Zeon Lifesciences","173.0","4.0"
"587903","Hindustan Field Services","654.0","3.9"
"5294568","Air Liquide","359.0","3.8"
"901610","Empoweringcpo Services","13.0","4.2"
"124454516","Aspire Tech It Solution","",""
"124922971","Smartpitch Global","",""
"125137455","TOM Hospitality","",""
"125044259","GEV Focus Capital","",""
"123859191","Teams Abroad","",""
